No,Academy Ruangguru,Name,Address,,Unique Name,First Name,End Name,Tutor,Latitude,Longitude,Geocoding Status
1,Brain Academy,Bekasi - Cibubur,"Jl. Alternatif Cibubur No.35A, RT.001/RW.010, Jatikarya, Kec. Jatisampurna, Kota Bks, Jawa Barat 17435",,BAC Cibubur,Bekasi,Cibubur,,-6.378482,106.9194989,SUCCESS
2,Brain Academy,Tangerang - Citymall,"Ruko Business Park Tangcity Blok A.16, RT.005/RW.005, Babakan, Kec. Tangerang, Kota Tangerang, Banten 15118",,BAC Citymall,Tangerang,Citymall,,-6.1942792,106.6350698,SUCCESS
3,Brain Academy,Bogor - Permata,"Jl. Sholeh Iskandar No.3a-5, RT.01/RW.04, Cibadak, Tanah Sareal, Kota Bogor, Jawa Barat 16166",,BAC Permata,Bogor,Permata Bogor,,-6.5483858,106.7742171,SUCCESS
4,Brain Academy,Cimahi - Cihanjuang,"Jl. Cihanjuang Komplek Duta regency Blok A nomor 12-13, Cibabat, Kec. Cimahi Utara, Kota Cimahi, Jawa Barat 40513",,BAC Cihanjuang,Cimahi,Cihanjuang,Siti Aisyah,-6.8735389,107.5525452,SUCCESS
5,Brain Academy,Karawang - Tuparev,"Jl Tuparev No. 395, Nagasari, Kec. Karawang Barat, Karawang, Jawa Barat 41314",,BAC Tuparev,Karawang,Tuparev,,-6.3085957,107.3095759,SUCCESS
6,Brain Academy,Depok - Sukmajaya,"Jl. Proklamasi No.14-15, Mekar Jaya, Kec. Sukmajaya, Kota Depok, Jawa Barat 16411",,BAC Sukmajaya,Depok,Sukmajaya Depok,Adzkia Kurnia Khairunnisa,-6.391858,106.8389758,SUCCESS
7,Brain Academy,Bogor - Pajajaran,"Jl. Raya Pajajaran No.87C, RT.04/RW.03, Bantarjati, Kec. Bogor Utara, Kota Bogor, Jawa Barat 16153",,BAC Pajajaran,Bogor,Pajajaran Bogor,Siti Nadhira Sulaiman,-6.5749208,106.8082284,SUCCESS
8,Brain Academy,Jakarta Timur - Pondok Gede,"Jl. Raya Pd. Gede No.30, RT.4/RW.8, Lubang Buaya, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13810",,BAC Pondok Gede,Jakarta Timur,Pondok Gede,"Tazkia Khansa Farhani
Khadijah Rizky",-6.2862892,106.8989817,SUCCESS
9,Brain Academy,Jakarta Barat - Kalideres,"Jl. Utan Jati No.19 Blk LB5, RT.8/RW.12, Kalideres, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11840",,BAC Kalideres,Jakarta Barat,Kalideres,,-6.1466195,106.7090822,SUCCESS
10,Brain Academy,Jakarta Selatan - Pasar Minggu,"Jl. Raya Pasar Minggu No.72 M, RT.12/RW.1, Pejaten Timur, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12740",,BAC Pasar Minggu,Jakarta Selatan,Pasar Minggu,"Maryo Khowijaya
Hilmy Bravianto Kartono",-6.2778928,106.8451711,SUCCESS
11,Brain Academy,Jakarta Selatan - Kebayoran Baru,"4, Jl. Kebayoran Baru No.7, RT.4/RW.7, Gunung, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12120",,BAC Kebayoran Baru,Jakarta Selatan,Kebayoran Baru,"Belinda Ambarsari Arya Putri
Gabriella Clarissa
Salsabila Khairunnisa
Eka Utami
Nadindra Pradnya Puntodewo
Hilmy Bravianto Kartono
Mega Mariesta
Ekawati Sudjono",-6.239262099999999,106.7854153,SUCCESS
12,Brain Academy,Bekasi - Harapan Indah,"Ruko Sentra Niaga, Jl. Boulevard Hijau Raya No.3, RT.006/RW.009, Pejuang, Kec. Medan Satria, Kota Bks, Jawa Barat 17131",,BAC Harapan Indah,Bekasi,Harapan Indah,"Salsabila Khairunnisa
Jeremia Ferdinand Immanuel Kamagie
Rendy Kurniawan
Samantha Meliora",-6.1840006,106.9844625,SUCCESS
13,Brain Academy,Bekasi - Tambun,"Jl. Sultan Hasanudin No.263-265, Tambun, Kec. Tambun Sel., Kabupaten Bekasi, Jawa Barat 17510",,BAC Tambun,Bekasi,Tambun,,-6.2642073,107.0731091,SUCCESS
